,x,y,word,label
Cn,-37.81882,-6.9149704,Cn,1
levn,18.479673,-29.878841,levn,0
hgh-lel,-4.5235047,-24.823317,hgh-lel,2
"le,",32.03655,-26.318277,"le,",3
bug,21.973015,-26.261215,bug,0
Quer,-34.25806,-16.196417,Quer,1
nel,-31.528786,-32.69772,nel,1
"pp,",-16.103613,-41.77046,"pp,",1
Bue,-56.52797,-15.614619,Bue,1
One,-33.226124,-11.198619,One,2
clen-e,-16.05784,-27.07037,clen-e,4
brg,-18.964855,-25.693806,brg,4
Newk,-51.402782,-17.756289,Newk,1
nvg,35.59147,-26.206161,nvg,3
e),43.128056,-13.555828,e),3
"JvScrp,",-16.501205,-28.261944,"JvScrp,",4
bun,45.19325,-26.97428,bun,3
ru,20.484478,-20.175238,ru,4
"prgrg,",53.898632,-17.961103,"prgrg,",3
prpr,-52.027634,-11.73727,prpr,1
Hp,-10.589849,-38.6777,Hp,1
Cu,-44.359943,-17.322805,Cu,1
bx,35.84844,-26.279848,bx,3
RESTful,-52.536846,-22.768051,RESTful,4
Lp,-2.6965053,-31.941431,Lp,2
qul,-6.4270535,-17.439024,qul,1
ulr,-19.47828,-30.088905,ulr,4
